stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
569,75S,Mrowla Cierpisz 19 nż,,50.0992,21.90591,,,
570,77S,Bratkowice Otoka 17 nż,,50.10393,21.89628,,,
571,79S,Bratkowice Piaski - Szkoła nr 3 06 nż,,50.1149988622238,21.8976026773453,,,
572,84S,Bratkowice Piaski środek 04 nż,,50.11793,21.88729,,,
573,82S,Bratkowice Sitkówka 02 nż,,50.1161839022467,21.8772393465042,,,
806,122S,Bratkowice Sitkówka 15 nż,,50.1145705894562,21.8707752227783,,,
574,85S,Bratkowice szkoła 13 nż,,50.1154787295694,21.8607786297798,,,
575,78S,Bratkowice Klepak 11 nż,,50.1159482725318,21.8472281098366,,,
1105,125S,Bratkowice Cieniaki II 09 nż,,50.1169527006244,21.8427850306034,,,
576,76S,Bratkowice Cieniaki I 07 nż,,50.1208730363786,21.833800971508,,,
1106,123S,Bratkowice Przywary 05 nż,,50.1217200068663,21.8269385397434,,,
728,74S,Bratkowice Czekaj 03 nż,,50.122162833186,21.8196469545364,,,
989,108S,Bratkowice las 01,,50.120034649818,21.8083561956882,,,
15,1S,Piłsudskiego U. Marszałkowski 08,,50.04178,21.99786,,,
16,3S,Krakowska jedn. wojskowa 02,,50.0443870917563,21.985809803009,,,
17,1G,Witosa / Solarza 07 nż,,50.04454,21.98125,,,
18,3G,Witosa / Wiktora 05 nż,,50.04213,21.97879,,,
153,12F,Witosa park 03 nż,,50.0394139811881,21.9769960641861,,,
248,69G,Panoramiczna 02 nż,,50.0338799934556,21.9715887308121,,,
249,73G,Plenerowa 02 nż,,50.0355119594885,21.9684773683548,,,
250,71G,Strzelnicza 02 nż,,50.0364319348951,21.9673562049866,,,
699,83G,Wyspiańskiego / Strzelnicza 03 nż,,50.03961725663,21.966984719038,,,
36,65G,Bł. Karoliny / Strzyżowska 02 nż,,50.0426404465684,21.965446472168,,,
37,67G,Bł. Karoliny / Sanocka 04 nż,,50.04296,21.95969,,,
38,79G,Bł. Karoliny przedszkole 06,,50.0442200091176,21.9529420137405,,,
39,88G,Bł. Karoliny pętla 09,,50.0444025942397,21.9474703073502,,,
581,86D,Olbrachta pętla 09,,50.03363,22.06894,,,
582,84D,Olbrachta / Św. Kingi 07 nż,,50.03207,22.06278,,,
583,82D,Olbrachta domki 05 nż,,50.03451,22.05542,,,
584,80D,Olbrachta / Kr. Marysieńki 03 nż,,50.03612,22.05221,,,
585,140D,Olbrachta / Lwowska 01 nż,,50.03748,22.04837,,,
140,39D,Cienista / Lwowska 02 nż,,50.0389815873431,22.0457276701927,,,
27,54D,Cienista cmentarz 01,,50.0416172343646,22.0448184013367,,,
812,52D,Morgowa / Kaszubska 02 nż,,50.0414260256252,22.0495498180389,,,
813,30D,Bałtycka 01 nż,,50.0411805538297,22.0533759891987,,,
283,40D,Lwowska / Bałtycka 09 nż,,50.03891,22.05231,,,
28,38D,Lwowska / Cienista 07 nż,,50.0384397975268,22.0447339117527,,,
2,36D,Lwowska szpital 05,,50.0380289289952,22.03767567873,,,
3,6D,Lwowska cmentarz 03,,50.0376171955768,22.0310533046722,,,
251,4D,Lwowska jedn. wojskowa 01,,50.038506,22.020639,,,
13,2D,Piłsudskiego ZDZ 02,,50.039123,22.013756,,,
117,5B,Cieplińskiego 02,,50.0388928686026,21.9976584613323,,,
